property_id,title,price,address,details_link,image_url,property_type,bedroom_icon,no_of_bedrooms,bathroom_icon,no_of_bathrooms,span_count
148892630,3 bedroom detached house for sale,"£600,000","Pollards Moor Road, Copythorne, Southampton, Hampshire",https://www.rightmove.co.uk/properties/148892630#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148892630/8764_ROM240294_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146012189,4 bedroom detached house for sale,"£600,000","Ganger Farm Way, Ampfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/146012189#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146012189/8764_ROM240182_IMG_12_0002_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
143735186,4 bedroom end of terrace house for sale,"£600,000","Riverside Gardens, Romsey, Hampshire",https://www.rightmove.co.uk/properties/143735186#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/143735186/8764_ROM200103_IMG_14_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147182069,3 bedroom detached house for sale,"£599,000","Pound Hill, Landford, Salisbury, Wiltshire",https://www.rightmove.co.uk/properties/147182069#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147182069/8764_ROM240228_IMG_14_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144409952,4 bedroom detached house for sale,"£585,000","Campion Drive, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144409952#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144409952/8764_ROM230129_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144067772,5 bedroom detached house for sale,"£575,000","Salisbury Road, Shootash, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144067772#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144067772/8764_ROM230267_IMG_19_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
86502951,4 bedroom detached house for sale,"£575,000","Hurricane Drive, Rownhams, Southampton, Hampshire",https://www.rightmove.co.uk/properties/86502951#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/86502951/8764_ROM230469_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
146050199,2 bedroom apartment for sale,"£575,000","Mortimer Drive, Romsey, Hampshire",https://www.rightmove.co.uk/properties/146050199#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/146050199/8764_ROM240170_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148214558,3 bedroom detached bungalow for sale,"£575,000","Durban Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148214558#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148214558/8764_ROM230537_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148344053,4 bedroom detached house for sale,"£550,000","Mount Temple, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148344053#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148344053/8764_ROM240297_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
