slug,title,bedrooms,bathrooms,numberOfImages,numberOfFloorplans,numberOfVirtualTours,summary,displayAddress,countryCode,location,propertyImages,propertySubType,listingUpdateReason,listingUpdateDate,premiumListing,featuredProperty,displayPrice,displayPriceQualifier,propertyType,customerSegment,availableFrom,letAgreed,branchId,propertyUrl,shortDescription,longDescription,commercial,residential,newHome,auction
144828473,"Hunters Crescent, Totton, Southampton, Hampshire",4,0,16,1,0,This beautifully presented four bedroom detached house located in sought after positon in Totton with off street parking and spacious accommodation throughout.,"Hunters Crescent, Totton, Southampton, Hampshire",GB,"{'latitude': 50.91431, 'longitude': -1.52015}",https://media.rightmove.co.uk/9k/8764/144828473/8764_ROM240113_IMG_00_0000.jpeg,Detached,price_reduced,2024-04-03T13:52:42Z,True,False,"£525,000",Offers Over,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/144828473#/?channel=RES_BUY,,This beautifully presented four bedroom detached house located in sought after positon in Totton with off street parking and spacious accommodation throughout.,False,True,False,False
150841898,"Mill Lane, Nursling, Southampton, Hampshire",3,0,17,1,0,"This delightful semi-detached cottage is located in a idyllic location which overlooks the lower test reserve with seasonal views to the River Test. Close to M27 and east access to the Hospital. Hall,Cls, Living Room, Dining Room, Conservatory, Kit, 3 Beds, Bath, Garage. Highly recommended","Mill Lane, Nursling, Southampton, Hampshire",GB,"{'latitude': 50.94046, 'longitude': -1.49512}",https://media.rightmove.co.uk/9k/8764/150841898/8764_ROM240390_IMG_00_0000.jpeg,Semi-Detached,new,2024-07-31T16:37:02Z,False,False,"£525,000",,3 bedroom semi-detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150841898#/?channel=RES_BUY,,"This delightful semi-detached cottage is located in a idyllic location which overlooks the lower test reserve with seasonal views to the River Test. Close to M27 and east access to the Hospital. Hall,Cls, Living Room, Dining Room, Conservatory, Kit, 3 Beds, Bath, Garage. Highly recommended",False,True,False,False
141914594,"Hedgerow Close, Rownhams, Southampton, Hampshire",4,2,13,1,0,"Located in a popular residential cul-de-sac this well presented four bedroom detached house includes, modern kitchen with breakfast area, en-suite, off road parking, downstairs cloakroom and a private rear garden. ","Hedgerow Close, Rownhams, Southampton, Hampshire",GB,"{'latitude': 50.95154, 'longitude': -1.45884}",https://media.rightmove.co.uk/9k/8764/141914594/8764_ROM230509_IMG_00_0000.jpeg,Detached,price_reduced,2024-02-08T14:38:37Z,True,False,"£520,000",,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/141914594#/?channel=RES_BUY,,"Located in a popular residential cul-de-sac this well presented four bedroom detached house includes, modern kitchen with breakfast area, en-suite, off road parking, downstairs cloakroom and a private rear garden. ",False,True,False,False
144154316,"Hedgerow Close, Rownhams, Southampton, Hampshire",4,2,16,1,0,"Located in a popular residential cul-de-sac this well presented four bedroom detached house includes a garage, study, separate dining room, downstairs cloakroom, modern kitchen with breakfast area, en-suite, off road parking and a private rear garden.","Hedgerow Close, Rownhams, Southampton, Hampshire",GB,"{'latitude': 50.95154, 'longitude': -1.45884}",https://media.rightmove.co.uk/9k/8764/144154316/8764_ROM220211_IMG_00_0000.jpeg,Detached,new,2024-01-30T11:45:03Z,False,False,"£520,000",Offers in Excess of,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/144154316#/?channel=RES_BUY,,"Located in a popular residential cul-de-sac this well presented four bedroom detached house includes a garage, study, separate dining room, downstairs cloakroom, modern kitchen with breakfast area, en-suite, off road parking and a private rear garden.",False,True,False,False
150860672,"Salisbury Road, West Wellow, Romsey, Hampshire",3,1,18,1,0,"We are pleased to welcome to the market this spacious detached bungalow including a delightful garden, double garage and off road parking.","Salisbury Road, West Wellow, Romsey, Hampshire",GB,"{'latitude': 50.97079, 'longitude': -1.59277}",https://media.rightmove.co.uk/9k/8764/150860672/8764_ROM240406_IMG_00_0000.jpeg,Detached Bungalow,new,2024-08-01T10:14:14Z,False,True,"£475,000",,3 bedroom detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/150860672#/?channel=RES_BUY,,"We are pleased to welcome to the market this spacious detached bungalow including a delightful garden, double garage and off road parking.",False,True,False,False
86834244,"Bodding Avenue, Nursling, Southampton, Hampshire",4,2,13,1,0,"This beautifully presented four bedroom detached house located in a popular postion in Nursling with large garden, off street parking, garage and delightful open plan kitchen/dining room.","Bodding Avenue, Nursling, Southampton, Hampshire",GB,"{'latitude': 50.94033, 'longitude': -1.46509}",https://media.rightmove.co.uk/9k/8764/86834244/8764_ROM240202_IMG_00_0001.jpeg,Detached,new,2024-04-03T18:43:04Z,True,False,"£500,000",Offers in Excess of,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/86834244#/?channel=RES_BUY,,"This beautifully presented four bedroom detached house located in a popular postion in Nursling with large garden, off street parking, garage and delightful open plan kitchen/dining room.",False,True,False,False
146056748,"Newton Lane, Whiteparish, Salisbury, Wiltshire",3,0,14,1,0,"A rare opportunity to purchase this beautiful three bedroom semi detached cottage located in a desirable postion in Whiteparish including ample off street parking, garage and large plot.","Newton Lane, Whiteparish, Salisbury, Wiltshire",GB,"{'latitude': 51.00438, 'longitude': -1.66417}",https://media.rightmove.co.uk/9k/8764/146056748/8764_ROM210513_IMG_00_0000.jpeg,Semi-Detached,new,2024-03-22T15:30:08Z,False,False,"£500,000",Offers Over,3 bedroom semi-detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/146056748#/?channel=RES_BUY,,"A rare opportunity to purchase this beautiful three bedroom semi detached cottage located in a desirable postion in Whiteparish including ample off street parking, garage and large plot.",False,True,False,False
143708792,"Southampton Road, Cadnam, Southampton, Hampshire",4,2,13,1,0,"Located on a popular road in Cadnam this very spacious four bedroom detached house includes a private rear garden, ample off street parking and garage. NO FORWARD CHAIN.","Southampton Road, Cadnam, Southampton, Hampshire",GB,"{'latitude': 50.91984, 'longitude': -1.57672}",https://media.rightmove.co.uk/9k/8764/143708792/8764_ROM240003_IMG_00_0000.jpeg,Detached,price_reduced,2024-02-16T18:02:20Z,True,False,"£500,000",Offers in Excess of,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/143708792#/?channel=RES_BUY,,"Located on a popular road in Cadnam this very spacious four bedroom detached house includes a private rear garden, ample off street parking and garage. NO FORWARD CHAIN.",False,True,False,False
131246549,"Newton Lane, Romsey, Hampshire",2,1,12,1,0,"In Romsey Town Centre this older two bedroom detached house which is located in the heart of the Town including dining room, sitting room, utility area, basement room and attractive garden. Vacant Possession.","Newton Lane, Romsey, Hampshire",GB,"{'latitude': 50.9877, 'longitude': -1.50073}",https://media.rightmove.co.uk/9k/8764/131246549/8764_ROM220504_IMG_00_0000.jpeg,Detached,new,2024-01-04T17:09:58Z,False,False,"£500,000",Guide Price,2 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/131246549#/?channel=RES_BUY,,"In Romsey Town Centre this older two bedroom detached house which is located in the heart of the Town including dining room, sitting room, utility area, basement room and attractive garden. Vacant Possession.",False,True,False,False
148479986,"Westbroke Gardens, Romsey, Hampshire",3,2,14,1,0,"Michael Rhodes are pleased to welcome this beautifully presented three bedroom detached property to the market. Located in a favoured cul-de-sac postion, this property is within a short walking distance to the town.","Westbroke Gardens, Romsey, Hampshire",GB,"{'latitude': 50.99683, 'longitude': -1.4908}",https://media.rightmove.co.uk/9k/8764/148479986/8764_ROM240302_IMG_00_0000.jpeg,Detached,new,2024-05-28T17:47:02Z,False,False,"£500,000",Offers in Excess of,3 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/148479986#/?channel=RES_BUY,,"Michael Rhodes are pleased to welcome this beautifully presented three bedroom detached property to the market. Located in a favoured cul-de-sac postion, this property is within a short walking distance to the town.",False,True,False,False
144381038,"Newton Lane, Romsey, Hampshire",3,2,15,1,0,We are pleased to welcome to the market this beautiful three bedroom house located in the heart of Romsey Town including off street parking and garden.,"Newton Lane, Romsey, Hampshire",GB,"{'latitude': 50.9877, 'longitude': -1.50073}",https://media.rightmove.co.uk/9k/8764/144381038/8764_ROM230079_IMG_00_0000.jpeg,End of Terrace,price_reduced,2024-03-13T09:55:37Z,True,False,"£500,000",,3 bedroom end of terrace house for sale,,,False,8764,https://www.rightmove.co.uk/properties/144381038#/?channel=RES_BUY,,We are pleased to welcome to the market this beautiful three bedroom house located in the heart of Romsey Town including off street parking and garden.,False,True,False,False
145966322,"Carisbrooke Court, Romsey, Hampshire",3,0,15,1,0,"Located in a popular cul-de-sac this very well presented and substantially extended three bedroom detached bungalow includes a private rear garden, garage and off road parking.","Carisbrooke Court, Romsey, Hampshire",GB,"{'latitude': 50.99815, 'longitude': -1.48395}",https://media.rightmove.co.uk/9k/8764/145966322/8764_ROM230121_IMG_00_0000.jpeg,Detached Bungalow,new,2024-03-20T17:24:05Z,True,False,"£500,000",Offers in Excess of,3 bedroom detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/145966322#/?channel=RES_BUY,,"Located in a popular cul-de-sac this very well presented and substantially extended three bedroom detached bungalow includes a private rear garden, garage and off road parking.",False,True,False,False
150505058,"Winchester Road, Romsey, Hampshire",3,1,17,1,0,We are pleased to welcome to the market this beautifully presented and impressively extended three bedroom house with a private rear garden and off road parking. Central Romsey.,"Winchester Road, Romsey, Hampshire",GB,"{'latitude': 50.98919, 'longitude': -1.49174}",https://media.rightmove.co.uk/9k/8764/150505058/8764_ROM240368_IMG_00_0000.jpeg,Terraced,new,2024-07-22T13:31:10Z,False,False,"£500,000",Offers in Excess of,3 bedroom terraced house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150505058#/?channel=RES_BUY,,We are pleased to welcome to the market this beautifully presented and impressively extended three bedroom house with a private rear garden and off road parking. Central Romsey.,False,True,False,False
148341455,"Sequoia Lane, Romsey, Hampshire",4,2,17,1,0,Firsdown - This beautiful brand new four bedroom end of terrace house in the new Wisteria Gate development in Romsey.,"Sequoia Lane, Romsey, Hampshire",GB,"{'latitude': 51.00646, 'longitude': -1.47203}",https://media.rightmove.co.uk/9k/8764/148341455/8764_ROM240301_IMG_15_0000.jpeg,End of Terrace,price_reduced,2024-07-19T16:22:08Z,False,False,"£500,000",,4 bedroom end of terrace house for sale,,,False,8764,https://www.rightmove.co.uk/properties/148341455#/?channel=RES_BUY,,Firsdown - This beautiful brand new four bedroom end of terrace house in the new Wisteria Gate development in Romsey.,False,True,False,False
148178057,"Rosslyn Close, North Baddesley, Southampton, Hampshire",5,0,17,1,0,This spacious five bedroom semi detached bungalow located in a quiet location in North Baddesley with ample off street parking and secluded garden.,"Rosslyn Close, North Baddesley, Southampton, Hampshire",GB,"{'latitude': 50.97711, 'longitude': -1.44515}",https://media.rightmove.co.uk/9k/8764/148178057/8764_ROM210525_IMG_01_0000.jpeg,Semi-Detached Bungalow,price_reduced,2024-07-03T10:37:38Z,True,False,"£500,000",,5 bedroom semi-detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/148178057#/?channel=RES_BUY,,This spacious five bedroom semi detached bungalow located in a quiet location in North Baddesley with ample off street parking and secluded garden.,False,True,False,False
150129422,"Salisbury Road, Shootash, Romsey, Hampshire",4,2,19,1,0,"Being Sold via Secure Sale online bidding. Terms & Conditions apply. Starting Bid £500,000. Viewings available. Beautifully presented three/four bedroom detached bungalow. Delightful garden, garage and ample parking.","Salisbury Road, Shootash, Romsey, Hampshire",GB,"{'latitude': 50.99587, 'longitude': -1.54325}",https://media.rightmove.co.uk/9k/8764/150129422/8764_ROM240384_IMG_00_0000.jpeg,Detached Bungalow,new,2024-07-11T09:03:09Z,False,False,"£500,000",Guide Price,4 bedroom detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/150129422#/?channel=RES_BUY,,"Being Sold via Secure Sale online bidding. Terms & Conditions apply. Starting Bid £500,000. Viewings available. Beautifully presented three/four bedroom detached bungalow. Delightful garden, garage and ample parking.",False,True,False,True
150070271,"Sequoia Lane, Romsey, Hampshire",3,2,22,1,0,The Moorgreen - Detached - This beautiful brand new three bedroom detached house on the new Wisteria Gate development in Romsey.,"Sequoia Lane, Romsey, Hampshire",GB,"{'latitude': 51.00646, 'longitude': -1.47203}",https://media.rightmove.co.uk/9k/8764/150070271/8764_ROM240388_IMG_00_0000.jpeg,Detached,new,2024-07-09T17:42:05Z,False,False,"£495,000",,3 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150070271#/?channel=RES_BUY,,The Moorgreen - Detached - This beautiful brand new three bedroom detached house on the new Wisteria Gate development in Romsey.,False,True,False,False
144737750,"Benedict Close, Romsey, Hampshire",4,2,13,1,0,"This very well presented four bedroom detached house located in a sought after position in Romsey with double garage, ample off street parking and delightful rear garden.","Benedict Close, Romsey, Hampshire",GB,"{'latitude': 50.98928, 'longitude': -1.47222}",https://media.rightmove.co.uk/9k/8764/144737750/8764_ROM240111_IMG_00_0000.jpeg,Detached,new,2024-05-14T11:06:40Z,True,False,"£490,000",Offers in Excess of,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/144737750#/?channel=RES_BUY,,"This very well presented four bedroom detached house located in a sought after position in Romsey with double garage, ample off street parking and delightful rear garden.",False,True,False,False
150514265,"Sequoia Lane, Romsey, Hampshire",3,2,7,2,0,The Moorgreen - Detached - This beautiful brand new three bedroom detached house on the new Wisteria Gate development in Romsey.,"Sequoia Lane, Romsey, Hampshire",GB,"{'latitude': 51.00646, 'longitude': -1.47203}",https://media.rightmove.co.uk/9k/8764/150514265/8764_ROM240412_IMG_00_0000.jpeg,Detached,new,2024-07-22T15:56:15Z,False,False,"£480,000",,3 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150514265#/?channel=RES_BUY,,The Moorgreen - Detached - This beautiful brand new three bedroom detached house on the new Wisteria Gate development in Romsey.,False,True,False,False
146502026,"Spring Gardens, North Baddesley, Southampton, Hampshire",3,0,13,1,0,"This spacious and extended three detached chalet bungalow located in a quiet cul de sac in North Baddesley with off street parking, garage and large rear garden. NO FORWARD CHAIN.","Spring Gardens, North Baddesley, Southampton, Hampshire",GB,"{'latitude': 50.97873, 'longitude': -1.4457}",https://media.rightmove.co.uk/9k/8764/146502026/8764_ROM240201_IMG_00_0000.jpeg,Bungalow,new,2024-08-05T13:04:09Z,False,False,"£480,000",,3 bedroom bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/146502026#/?channel=RES_BUY,,"This spacious and extended three detached chalet bungalow located in a quiet cul de sac in North Baddesley with off street parking, garage and large rear garden. NO FORWARD CHAIN.",False,True,False,False
150202724,"Sequoia Lane, Romsey, Hampshire",3,2,7,2,0,Plot 55 - The Moorgreen - Semi-Detached - This beautiful brand new three bedroom home on the new Wisteria Gate development in Romsey.,"Sequoia Lane, Romsey, Hampshire",GB,"{'latitude': 51.00646, 'longitude': -1.47203}",https://media.rightmove.co.uk/9k/8764/150202724/8764_ROM240393_IMG_00_0000.jpeg,Semi-Detached,new,2024-07-12T17:27:04Z,False,False,"£480,000",,3 bedroom semi-detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150202724#/?channel=RES_BUY,,Plot 55 - The Moorgreen - Semi-Detached - This beautiful brand new three bedroom home on the new Wisteria Gate development in Romsey.,False,True,False,False
149524700,"Kingsclere Road, Whitchurch, Hampshire",3,1,15,0,0,We are pleased to welcome to the market this three bedroom detached bungalow with excellent views and delightful plot. NO FORWARD CHAIN.,"Kingsclere Road, Whitchurch, Hampshire",GB,"{'latitude': 51.24898, 'longitude': -1.33271}",https://media.rightmove.co.uk/9k/8764/149524700/8764_ROM230157_IMG_00_0000.jpeg,Detached Bungalow,price_reduced,2024-04-18T14:31:38Z,False,False,"£475,000",,3 bedroom detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/149524700#/?channel=RES_BUY,,We are pleased to welcome to the market this three bedroom detached bungalow with excellent views and delightful plot. NO FORWARD CHAIN.,False,True,False,False
150407414,"Tottehale Close, North Baddesley, Hampshire",5,1,19,1,0,We are delighted to welcome to the market this extended five bedroom house in a popular quiet cul de sac in North Baddesley with off road parking and garage.,"Tottehale Close, North Baddesley, Hampshire",GB,"{'latitude': 50.97327, 'longitude': -1.4509}",https://media.rightmove.co.uk/9k/8764/150407414/8764_ROM160390_IMG_00_0000.jpeg,Semi-Detached,new,2024-07-18T17:11:04Z,False,False,"£475,000",Offers in Excess of,5 bedroom semi-detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150407414#/?channel=RES_BUY,,We are delighted to welcome to the market this extended five bedroom house in a popular quiet cul de sac in North Baddesley with off road parking and garage.,False,True,False,False
